ID Geography,Geography,Adult Smoking (2014),Adult Smoking (2015),Adult Smoking (2016),Adult Smoking (2017),Adult Smoking (2018),Adult Smoking CI High (2014),Adult Smoking CI High (2015),Adult Smoking CI High (2016),Adult Smoking CI High (2017),Adult Smoking CI High (2018),Adult Smoking CI Low (2014),Adult Smoking CI Low (2015),Adult Smoking CI Low (2016),Adult Smoking CI Low (2017),Adult Smoking CI Low (2018),High School Graduation (2014),High School Graduation (2015),High School Graduation (2016),High School Graduation (2017),High School Graduation (2018),Median Household Income (2014),Median Household Income (2015),Median Household Income (2016),Median Household Income (2017),Median Household Income (2018),Median Household Income CI High (2014),Median Household Income CI High (2015),Median Household Income CI High (2016),Median Household Income CI High (2017),Median Household Income CI High (2018),Median Household Income CI Low (2014),Median Household Income CI Low (2015),Median Household Income CI Low (2016),Median Household Income CI Low (2017),Median Household Income CI Low (2018),Unemployment (2014),Unemployment (2015),Unemployment (2016),Unemployment (2017),Unemployment (2018)
"04000US06","California",0.1289999932050705,0.1289999932050705,0.12800000607967377,0.11699999868869781,0.10972928255796432,0.13300000131130219,0.13300000131130219,0.1379999965429306,0.12399999797344208,0.11749879270792007,0.12600000202655792,0.12600000202655792,0.11900000274181366,0.10999999940395355,0.10241390019655228,0.8130000233650208,0.8349999785423279,0.847000002861023,0.8230000138282776,0.822650671005249,58322,60185,61927,64483,67715,58739,60488,62211,64950,68136.7890625,57905,59882,61643,64016,67293.2109375,0.10499999672174454,0.08900000154972076,0.07500000298023224,0.06199999898672104,0.05432138592004776
"04000US35","New Mexico",0.18700000643730164,0.18700000643730164,0.19099999964237213,0.17499999701976776,0.16621191799640656,0.19300000369548798,0.19300000369548798,0.20600000023841858,0.19099999964237213,0.1820487082004547,0.18199999630451202,0.18199999630451202,0.17800000309944153,0.16099999845027924,0.15149761736392975,0.6899999976158142,0.7049999833106995,0.7120000123977661,0.6990000009536743,0.6987465023994446,42828,44026,44905,45524,46844,43832,45089,45864,46524,47790.04296875,41824,42963,43946,44524,45897.95703125,0.0689999982714653,0.0689999982714653,0.06499999761581421,0.06599999964237213,0.06733638048171997
"04000US34","New Jersey",0.15600000321865082,0.15600000321865082,0.1509999930858612,0.13500000536441803,0.13970792293548584,0.1599999964237213,0.1599999964237213,0.16099999845027924,0.1459999978542328,0.15356136858463287,0.15199999511241913,0.15199999511241913,0.1420000046491623,0.125,0.12691687047481537,0.8669999837875366,0.871999979019165,0.8799999952316284,0.9010000228881836,0.9005041718482971,69705,70224,71968,72337,76212,70521,70861,72483,73053,77024.59375,68889,69587,71453,71621,75399.40625,0.0949999988079071,0.0820000022649765,0.06599999964237213,0.0560000017285347,0.04958335682749748
"04000US33","New Hampshire",0.16699999570846558,0.16699999570846558,0.17499999701976776,0.1589999943971634,0.18009795248508453,0.1720000058412552,0.1720000058412552,0.19099999964237213,0.17299999296665192,0.19667144119739532,0.16099999845027924,0.16099999845027924,0.16099999845027924,0.1459999978542328,0.16463486850261688,0.8619999885559082,0.8640000224113464,0.8769999742507935,0.8849999904632568,0.8847527503967285,63157,64064,66469,70003,70986,64677,65488,67843,71392,72500.3828125,61637,62640,65095,68614,69471.6171875,0.054999999701976776,0.05299999937415123,0.0430000014603138,0.03400000184774399,0.02825268544256687
"04000US32","Nevada",0.20800000429153442,0.20800000429153442,0.17000000178813934,0.17499999701976776,0.16477546095848083,0.2160000056028366,0.2160000056028366,0.19099999964237213,0.20000000298023224,0.1819547712802887,0.19900000095367432,0.19900000095367432,0.1509999930858612,0.15299999713897705,0.148922860622406,0.6150000095367432,0.6359999775886536,0.7179999947547913,0.7269999980926514,0.7272188067436218,49909,51250,51487,52544,55201,50836,51934,52272,53654,56224.48828125,48982,50566,50702,51434,54177.51171875,0.11100000143051147,0.09799999743700027,0.07800000160932541,0.06700000166893005,0.056831520050764084
"04000US08","Colorado",0.16899999976158142,0.16899999976158142,0.15700000524520874,0.15600000321865082,0.15593332052230835,0.17299999296665192,0.17299999296665192,0.16599999368190765,0.16699999570846558,0.16481493413448334,0.16500000655651093,0.16500000655651093,0.14800000190734863,0.1459999978542328,0.14744582772254944,0.7360000014305115,0.7519999742507935,0.7680000066757202,0.7730000019073486,0.7733407020568848,56880,58942,61324,63945,65718,57565,59861,61894,64965,66457.9140625,56195,58023,60754,62925,64978.0859375,0.07999999821186066,0.06800000369548798,0.05000000074505806,0.039000000804662704,0.03314157947897911
"04000US31","Nebraska",0.17599999904632568,0.17599999904632568,0.17299999296665192,0.17100000381469727,0.16990463435649872,0.18199999630451202,0.18199999630451202,0.18199999630451202,0.1809999942779541,0.18056720495224,0.17100000381469727,0.17100000381469727,0.16500000655651093,0.16200000047683716,0.15974895656108856,0.8479999899864197,0.8640000224113464,0.871999979019165,0.8740000128746033,0.8740495443344116,50766,51502,52803,55073,56979,51432,52080,53594,56029,57859.51171875,50100,50924,52012,54117,56098.48828125,0.039000000804662704,0.039000000804662704,0.032999999821186066,0.029999999329447746,0.032123006880283356
"04000US30","Montana",0.1809999942779541,0.1809999942779541,0.19900000095367432,0.1889999955892563,0.1852979063987732,0.18700000643730164,0.18700000643730164,0.21400000154972076,0.20499999821186066,0.2008739709854126,0.17599999904632568,0.17599999904632568,0.1850000023841858,0.17399999499320984,0.17067168653011322,0.8159999847412109,0.8330000042915344,0.8379999995231628,0.8529999852180481,0.8530780076980591,45030,46893,46608,49650,50265,46200,48132,47914,51175,51482.703125,43860,45654,45302,48125,49047.296875,0.05999999865889549,0.0560000017285347,0.04699999839067459,0.04100000113248825,0.04146981239318848
"04000US28","Mississippi",0.23199999332427979,0.23199999332427979,0.23000000417232513,0.22499999403953552,0.22740651667118073,0.2370000034570694,0.2370000034570694,0.25,0.24300000071525574,0.24482078850269318,0.22599999606609344,0.22599999606609344,0.210999995470047,0.20900000631809235,0.21088501811027527,0.7509999871253967,0.753000020980835,0.7590000033378601,0.7570000290870667,0.7573758363723755,37179,38191,39738,40630,41793,37855,39337,40620,41267,42443.5546875,36503,37045,38856,39993,41142.4453125,0.09200000017881393,0.0860000029206276,0.07800000160932541,0.06499999761581421,0.05830817297101021
"04000US27","Minnesota",0.16200000047683716,0.16200000047683716,0.16300000250339508,0.16200000047683716,0.1520378142595291,0.1679999977350235,0.1679999977350235,0.17000000178813934,0.17000000178813934,0.15914487838745117,0.15700000524520874,0.15700000524520874,0.15600000321865082,0.15399999916553497,0.14519332349300385,0.7710000276565552,0.777999997138977,0.8069999814033508,0.8270000219345093,0.8271220922470093,58828,60664,61473,63459,65583,59593,61173,62025,64238,66290.7421875,58063,60155,60921,62680,64875.25390625,0.0560000017285347,0.050999999046325684,0.04100000113248825,0.03700000047683716,0.039000436663627625
"04000US09","Connecticut",0.14900000393390656,0.14900000393390656,0.15399999916553497,0.13500000536441803,0.1334553360939026,0.15399999916553497,0.15399999916553497,0.16699999570846558,0.14499999582767487,0.14350910484790802,0.14300000667572021,0.14300000667572021,0.1420000046491623,0.12600000202655792,0.12400393187999725,0.8270000219345093,0.8489999771118164,0.8560000061988831,0.8730000257492065,0.8731787204742432,67275,67262,70007,71333,73380,68242,68433,70946,72239,74564.34375,66308,66091,69068,70427,72195.65625,0.08399999886751175,0.07800000160932541,0.06599999964237213,0.0560000017285347,0.05088936910033226
"04000US26","Michigan",0.19699999690055847,0.19699999690055847,0.21199999749660492,0.2070000022649765,0.20428556203842163,0.20200000703334808,0.20200000703334808,0.22499999403953552,0.21899999678134918,0.2144392877817154,0.19200000166893005,0.19200000166893005,0.20000000298023224,0.19599999487400055,0.1944935917854309,0.7590000033378601,0.7770000100135803,0.7829999923706055,0.8100000023841858,0.8097033500671387,46793,48200,49755,51063,52436,47184,48647,50210,51353,52910.2109375,46402,47753,49300,50773,51961.7890625,0.09099999815225601,0.08799999952316284,0.0729999989271164,0.05400000140070915,0.04914766550064087
"04000US25","Massachusetts",0.15199999511241913,0.15199999511241913,0.1469999998807907,0.14000000059604645,0.13618053495883942,0.1550000011920929,0.1550000011920929,0.15700000524520874,0.15000000596046448,0.1471766233444214,0.14800000190734863,0.14800000190734863,0.1379999965429306,0.12999999523162842,0.12588472664356232,0.8330000042915344,0.847000002861023,0.8500000238418579,0.8730000257492065,0.8728767037391663,65378,66794,69200,70659,75207,66118,67615,70269,71383,76095.8515625,64638,65973,68131,69935,74318.1484375,0.06700000166893005,0.07100000232458115,0.057999998331069946,0.05000000074505806,0.03700203821063042
"04000US24","Maryland",0.15399999916553497,0.15399999916553497,0.1459999978542328,0.1509999930858612,0.1368628591299057,0.1589999943971634,0.1589999943971634,0.1589999943971634,0.16599999368190765,0.1454155147075653,0.15000000596046448,0.15000000596046448,0.1340000033378601,0.13699999451637268,0.1287374496459961,0.8299999833106995,0.8349999785423279,0.8489999771118164,0.8700000047683716,0.8696261048316956,71169,72482,73851,75784,78787,71840,73308,74833,76476,79641.296875,70498,71656,72869,75092,77932.703125,0.06800000369548798,0.06599999964237213,0.057999998331069946,0.052000001072883606,0.04286450520157814
"04000US23","Maine",0.1860000044107437,0.1860000044107437,0.19300000369548798,0.19499999284744263,0.19760575890541077,0.19099999964237213,0.19099999964237213,0.20600000023841858,0.20900000631809235,0.21122805774211884,0.1809999942779541,0.1809999942779541,0.1809999942779541,0.1809999942779541,0.1846562922000885,0.8320000171661377,0.8510000109672546,0.8610000014305115,0.871999979019165,0.8722148537635803,46856,47095,49381,51419,52926,47851,48002,50590,52398,54398.6796875,45861,46188,48172,50440,51453.3203125,0.0729999989271164,0.06700000166893005,0.05700000002980232,0.04399999976158142,0.03853761404752731
"04000US10","Delaware",0.18000000715255737,0.18000000715255737,0.19900000095367432,0.17399999499320984,0.17657679319381714,0.18700000643730164,0.18700000643730164,0.21899999678134918,0.19200000166893005,0.1942215859889984,0.17299999296665192,0.17299999296665192,0.18000000715255737,0.15700000524520874,0.16021627187728882,0.7900000214576721,0.8019999861717224,0.8059999942779541,0.8550000190734863,0.8550971150398254,58326,58244,59853,61327,62112,59876,60048,61509,62733,63684.765625,56776,56440,58197,59921,60539.234375,0.07100000232458115,0.06700000166893005,0.05700000002980232,0.04899999871850014,0.043801579624414444
"04000US11","District of Columbia",,,,,0.16686005890369415,,,,,0.17171238362789154,,,,,0.16207385063171387,,,,,0.6844729781150818,,,,,74093,,,,,76729.765625,,,,,71456.234375,,,,,0.0601404532790184
"04000US22","Louisiana",0.21699999272823334,0.21699999272823334,0.23999999463558197,0.21899999678134918,0.227738156914711,0.22300000488758087,0.22300000488758087,0.2540000081062317,0.23600000143051147,0.24835214018821716,0.21199999749660492,0.21199999749660492,0.22599999606609344,0.20200000703334808,0.20836091041564941,0.722000002861023,0.7329999804496765,0.75,0.8019999861717224,0.8018245100975037,42998,44234,44680,45829,45374,43775,45213,45525,46609,46271.19140625,42221,43255,43835,45049,44476.80859375,0.06400000303983688,0.06199999898672104,0.06400000303983688,0.06300000101327896,0.06086338683962822
"04000US21","Kentucky",0.25600001215934753,0.25600001215934753,0.2619999945163727,0.2590000033378601,0.2447088062763214,0.2630000114440918,0.2630000114440918,0.2770000100135803,0.2770000100135803,0.2584928870201111,0.25,0.25,0.24699999392032623,0.24300000071525574,0.23143036663532257,0.7879999876022339,0.8610000014305115,0.8769999742507935,0.8920000195503235,0.8917117118835449,41717,43307,42914,45178,46610,42209,44059,43713,45731,47310.59765625,41225,42555,42115,44625,45909.40234375,0.0820000022649765,0.08299999684095383,0.06499999761581421,0.05400000140070915,0.05005117878317833
"04000US20","Kansas",0.17499999701976776,0.17499999701976776,0.1809999942779541,0.1770000010728836,0.17223764955997467,0.17900000512599945,0.17900000512599945,0.1889999955892563,0.18400000035762787,0.18155258893966675,0.17100000381469727,0.17100000381469727,0.17299999296665192,0.17100000381469727,0.16330526769161224,0.8270000219345093,0.847000002861023,0.8550000190734863,0.8550000190734863,0.8552332520484924,50140,50892,52392,53802,54828,50745,51599,53202,54802,55843.1484375,49535,50185,51582,52802,53812.8515625,0.05700000002980232,0.05400000140070915,0.04500000178813934,0.041999999433755875,0.04170383885502815
"04000US19","Iowa",0.17499999701976776,0.17499999701976776,0.1850000023841858,0.1809999942779541,0.16742895543575287,0.18000000715255737,0.18000000715255737,0.19699999690055847,0.19499999284744263,0.1798970252275467,0.17000000178813934,0.17000000178813934,0.17299999296665192,0.16699999570846558,0.1556609869003296,0.8830000162124634,0.890999972820282,0.8939999938011169,0.9039999842643738,0.9041975736618042,50997,52286,53816,54843,56354,51502,52908,54685,55752,57160.63671875,50492,51664,52947,53934,55547.36328125,0.052000001072883606,0.04600000008940697,0.04399999976158142,0.03700000047683716,0.036693211644887924
"04000US12","Florida",0.18000000715255737,0.18000000715255737,0.17599999904632568,0.15800000727176666,0.154775932431221,0.1860000044107437,0.1860000044107437,0.18799999356269836,0.17000000178813934,0.1627114713191986,0.17499999701976776,0.17499999701976776,0.16500000655651093,0.1469999998807907,0.1471593976020813,0.7049999833106995,0.7450000047683716,0.7549999952316284,0.7789999842643738,0.7788487672805786,45006,46021,47439,49416,50857,45413,46387,47827,49808,51144.1484375,44599,45655,47051,49024,50569.8515625,0.0860000029206276,0.07199999690055847,0.06300000101327896,0.05400000140070915,0.04882313683629036
"04000US18","Indiana",0.2280000001192093,0.2280000001192093,0.2290000021457672,0.20600000023841858,0.2114018201828003,0.23399999737739563,0.23399999737739563,0.2409999966621399,0.22300000488758087,0.2233918458223343,0.22300000488758087,0.22300000488758087,0.21799999475479126,0.1889999955892563,0.19988970458507538,0.8650000095367432,0.8659999966621399,0.8730000257492065,0.871999979019165,0.8722475171089172,46954,47508,49384,50510,52289,47447,48111,49954,50968,52726.27734375,46461,46905,48814,50052,51851.72265625,0.08399999886751175,0.07500000298023224,0.05999999865889549,0.04800000041723251,0.04421256482601166
"04000US17","Illinois",0.18299999833106995,0.18299999833106995,0.16500000655651093,0.1509999930858612,0.15801949799060822,0.1899999976158142,0.1899999976158142,0.18000000715255737,0.16500000655651093,0.17223253846168518,0.1770000010728836,0.1770000010728836,0.1509999930858612,0.1379999965429306,0.1447741985321045,0.8379999995231628,0.824999988079071,0.8320000171661377,0.8560000061988831,0.8561080098152161,55126,56212,57458,59590,60977,55604,56686,57962,60191,61436.9140625,54648,55738,56954,58989,60517.0859375,0.08900000154972076,0.09200000017881393,0.07100000232458115,0.05900000035762787,0.05874656140804291
"04000US16","Idaho",0.16500000655651093,0.16500000655651093,0.1589999943971634,0.1379999965429306,0.14480192959308624,0.17100000381469727,0.17100000381469727,0.17499999701976776,0.15199999511241913,0.1601032167673111,0.1589999943971634,0.1589999943971634,0.14499999582767487,0.125,0.1307353973388672,0.8069999814033508,0.8069999814033508,0.8069999814033508,0.7879999876022339,0.7880641222000122,45296,46621,47572,48311,51647,46322,47665,48928,49538,52732.4453125,44270,45577,46216,47084,50561.5546875,0.07100000232458115,0.06199999898672104,0.04800000041723251,0.04100000113248825,0.03822852298617363
"04000US15","Hawaii",0.15299999713897705,0.15299999713897705,0.14100000262260437,0.14100000262260437,0.13051441311836243,0.1589999943971634,0.1589999943971634,0.15299999713897705,0.15399999916553497,0.1419115960597992,0.14800000190734863,0.14800000190734863,0.12999999523162842,0.1289999932050705,0.11990465968847275,0.8050000071525574,0.8130000233650208,0.8259999752044678,0.8149999976158142,0.8154395818710327,66086,67798,69549,73097,74659,67758,69430,71113,75212,76536.7890625,64414,66166,67985,70982,72781.2109375,0.057999998331069946,0.04800000041723251,0.04399999976158142,0.035999998450279236,0.03018617443740368
"04000US13","Georgia",0.1809999942779541,0.1809999942779541,0.17399999499320984,0.1770000010728836,0.17886382341384888,0.18700000643730164,0.18700000643730164,0.18799999356269836,0.1940000057220459,0.19364359974861145,0.17499999701976776,0.17499999701976776,0.1599999964237213,0.16200000047683716,0.16498130559921265,0.6779999732971191,0.7039999961853027,0.7279999852180481,0.7960000038146973,0.7955229878425598,47125,47765,49240,51225,53468,47572,48493,49874,51665,54290.12890625,46678,47037,48606,50785,52645.87109375,0.09000000357627869,0.0820000022649765,0.07199999690055847,0.05900000035762787,0.05369630455970764